co2,c.month,month
360.38,483,3
360.54,484,4
360.65,485,5
360.97,486,6
361.31,487,7
361.59,488,8
362.01,489,9
362.07,490,10
362.18,491,11
362.21,492,12
362.18,493,1
362.38,494,2
362.51,495,3
362.78,496,4
363.1,497,5
363.64,498,6
364.14,499,7
364.66,500,8
365.09,501,9
365.12,502,10
365.2,503,11
365.08,504,12
365.05,505,1
364.82,506,2
364.85,507,3
