year,exra,nao,location,code,elevation,climate.region,N,E
2012,49.6,-0.25,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
2013,36.6,0.9,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
2014,51.6,2.97,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
2015,69.2,4.09,Adelboden,ABO,1327,Western Alpine north slope,46.49,7.56
1981,50.3,-0.55,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
1982,42.4,2.63,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
1983,48.8,0.38,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
1984,30.6,2.17,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
1985,34.8,-3.09,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
1986,56,3.14,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
1987,40.7,-3.01,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
1988,58.8,-0.13,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
1989,35.4,2.38,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
1990,48.6,3.88,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
1991,40.3,1.14,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
1992,54.5,2.54,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
1993,42.7,1.71,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
1994,42.3,2.86,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
1995,37.2,-1.11,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
1996,43.7,-1.98,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
1997,44.8,-0.93,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
1998,28.8,1.03,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
1999,41.9,2.25,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
2000,28.9,1.18,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
2001,33.9,-1.91,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
2002,33,1,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
2003,29,-0.09,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
2004,52.3,0.7,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
2005,58.1,-1.35,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
2006,49.2,-0.2,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
2007,51.2,1.35,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
2008,26.8,1.72,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
2009,31.7,0.72,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
2010,26.8,-5.96,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
2011,33.5,2.95,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
2012,38.8,-0.25,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
2013,48.9,0.9,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
2014,48.8,2.97,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
2015,35.9,4.09,Aigle,AIG,381,Western Alpine north slope,46.33,6.92
1981,49.8,-0.55,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
1982,41.6,2.63,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
1983,37.8,0.38,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
1984,56.3,2.17,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
1985,31.4,-3.09,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
1986,54.9,3.14,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
1987,57.6,-3.01,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
1988,37.1,-0.13,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
1989,46.4,2.38,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
1990,51.6,3.88,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
1991,65.6,1.14,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
1992,40,2.54,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
1993,49.3,1.71,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
1994,38,2.86,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
1995,50.4,-1.11,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
1996,60,-1.98,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
1997,37.5,-0.93,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
1998,40.3,1.03,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
1999,55,2.25,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
2000,49.3,1.18,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
2001,40.5,-1.91,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
2002,104.7,1,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
2003,38.2,-0.09,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
2004,43.1,0.7,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
2005,53.4,-1.35,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
2006,71.9,-0.2,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
2007,45.5,1.35,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
2008,48.1,1.72,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
2009,47.2,0.72,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
2010,51.2,-5.96,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
2011,38.1,2.95,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
2012,27.4,-0.25,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
2013,50.2,0.9,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
2014,45.3,2.97,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
2015,38.1,4.09,Altdorf,ALT,438,Central Alpine north slope,46.89,8.62
1981,39.1,-0.55,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
1982,41.8,2.63,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
1983,27.5,0.38,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
1984,29.3,2.17,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
1985,24.9,-3.09,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
1986,35.2,3.14,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
1987,43.5,-3.01,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
1988,28.6,-0.13,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
1989,25.5,2.38,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
1990,32.4,3.88,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
1991,85,1.14,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
1992,32.6,2.54,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
1993,34,1.71,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
1994,59.8,2.86,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
1995,36.1,-1.11,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
1996,47.7,-1.98,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
1997,45.2,-0.93,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
1998,45.9,1.03,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
1999,43.3,2.25,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
2000,37,1.18,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
2001,28.4,-1.91,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
2002,30.2,1,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
2003,23.2,-0.09,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
2004,35.6,0.7,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
2005,24.9,-1.35,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
2006,41.6,-0.2,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
2007,63.4,1.35,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
2008,47.6,1.72,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
2009,39.1,0.72,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
2010,47.9,-5.96,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
2011,30.2,2.95,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
2012,42.8,-0.25,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
2013,34.3,0.9,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
2014,29,2.97,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
2015,35.7,4.09,Basel.Binningen,BAS,316,Eastern Jura,47.54,7.58
1981,46.7,-0.55,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
1982,57.6,2.63,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
1983,56.5,0.38,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
1984,40.4,2.17,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
1985,42.9,-3.09,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
1986,50.7,3.14,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
1987,50.8,-3.01,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
1988,44.8,-0.13,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
1989,44.9,2.38,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
1990,55,3.88,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
1991,41.1,1.14,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
1992,45.4,2.54,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
1993,40.4,1.71,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
1994,29,2.86,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
1995,41.6,-1.11,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
1996,40,-1.98,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
1997,43,-0.93,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
1998,41.8,1.03,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
1999,54.9,2.25,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
2000,43.9,1.18,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
2001,42.3,-1.91,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
2002,50.6,1,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
2003,26.7,-0.09,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
2004,31.1,0.7,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
2005,51.5,-1.35,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
2006,38.7,-0.2,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
2007,68.7,1.35,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
2008,41.7,1.72,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
2009,40.9,0.72,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
2010,89.6,-5.96,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
2011,52.8,2.95,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
2012,32.6,-0.25,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
2013,53.2,0.9,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
2014,41.8,2.97,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
2015,37.4,4.09,Bern.Zollikofen,BER,553,Central plateau,46.99,7.46
1981,46.8,-0.55,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
1982,57.8,2.63,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
1983,56.5,0.38,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
1984,40.4,2.17,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
1985,43.1,-3.09,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
1986,50.7,3.14,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
1987,50.8,-3.01,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
1988,44.9,-0.13,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
1989,44.9,2.38,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
1990,55.1,3.88,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
1991,41.4,1.14,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
1992,45.5,2.54,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
1993,40.6,1.71,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
1994,29.2,2.86,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
1995,41.7,-1.11,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
1996,40.2,-1.98,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
1997,43,-0.93,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
1998,41.7,1.03,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
1999,55,2.25,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
2000,44.1,1.18,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
2001,42.6,-1.91,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
2002,50.8,1,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
2003,26.9,-0.09,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
2004,31.1,0.7,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
2005,51.7,-1.35,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
2006,38.9,-0.2,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
2007,68.8,1.35,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
2008,41.9,1.72,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
2009,41,0.72,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
2010,89.8,-5.96,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
2011,53,2.95,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
2012,32.9,-0.25,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
2013,53.4,0.9,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
2014,41.9,2.97,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
2015,37.7,4.09,Beznau,BEZ,326,North-eastern plateau,47.56,8.23
1985,32.8,-3.09,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
1986,49.6,3.14,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
1987,58.7,-3.01,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
1988,32.2,-0.13,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
1989,54.7,2.38,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
1990,45.3,3.88,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
1991,35.8,1.14,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
1992,58.2,2.54,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
1993,52.5,1.71,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
1994,87.3,2.86,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
1995,35.6,-1.11,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
1996,49.2,-1.98,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
1997,36.1,-0.93,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
1998,36.6,1.03,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
1999,75.1,2.25,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
2000,32.8,1.18,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
2001,30.3,-1.91,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
2002,35.1,1,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
2003,29,-0.09,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
2004,32.3,0.7,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
2005,36.4,-1.35,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
2006,44.3,-0.2,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
2007,66.7,1.35,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
2008,40.5,1.72,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
2009,50.9,0.72,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
2010,40.4,-5.96,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
2011,40.3,2.95,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
2012,30.4,-0.25,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
2013,42.9,0.9,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
2014,38.3,2.97,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
2015,35.2,4.09,Buchs.Aarau,BUS,387,Central plateau,47.38,8.08
1985,32.9,-3.09,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
1986,49.5,3.14,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
1987,58.8,-3.01,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
1988,32.5,-0.13,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
1989,54.9,2.38,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
1990,45.3,3.88,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
1991,36,1.14,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
1992,58.5,2.54,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
1993,52.6,1.71,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
1994,87.3,2.86,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
1995,35.6,-1.11,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
1996,49.1,-1.98,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
1997,36.1,-0.93,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
1998,36.7,1.03,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
1999,75.3,2.25,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
2000,32.8,1.18,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
2001,30.6,-1.91,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
2002,35.4,1,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
2003,29.1,-0.09,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
2004,32.2,0.7,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
2005,36.6,-1.35,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
2006,44.5,-0.2,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
2007,66.9,1.35,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
2008,40.6,1.72,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
2009,51.2,0.72,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
2010,40.6,-5.96,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
2011,40.5,2.95,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
2012,30.7,-0.25,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
2013,43.1,0.9,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
2014,38.7,2.97,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
2015,35.5,4.09,La Chaux-de-Fonds,CDF,1018,Western Jura,47.08,6.79
1981,37.2,-0.55,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
1982,40.5,2.63,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
1983,44.5,0.38,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
1984,28.3,2.17,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
1985,35.2,-3.09,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
1986,34.8,3.14,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
1987,30.7,-3.01,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
1988,37.2,-0.13,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
1989,35.2,2.38,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
1990,49.8,3.88,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
1991,40.2,1.14,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
1992,43.2,2.54,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
1993,62.4,1.71,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
1994,51,2.86,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
1995,32.2,-1.11,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
1996,48.3,-1.98,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
1997,61.1,-0.93,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
1998,48.9,1.03,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
1999,57,2.25,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
2000,44.2,1.18,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
2001,50.4,-1.91,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
2002,43.7,1,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
2003,36.4,-0.09,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
2004,49.4,0.7,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
2005,49.3,-1.35,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
2006,29,-0.2,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
2007,37.9,1.35,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
2008,56.3,1.72,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
2009,29.8,0.72,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
2010,30.6,-5.96,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
2011,36.2,2.95,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
2012,47.8,-0.25,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
2013,63.1,0.9,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
2014,47.7,2.97,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
2015,54.6,4.09,Nyon.Changins,CGI,455,Western plateau,46.4,6.23
1981,46.7,-0.55,Chasseral,CHA,1599,Western Jura,47.13,7.05
1982,34.9,2.63,Chasseral,CHA,1599,Western Jura,47.13,7.05
1983,45.5,0.38,Chasseral,CHA,1599,Western Jura,47.13,7.05
1984,35.7,2.17,Chasseral,CHA,1599,Western Jura,47.13,7.05
1985,36.1,-3.09,Chasseral,CHA,1599,Western Jura,47.13,7.05
1986,35.5,3.14,Chasseral,CHA,1599,Western Jura,47.13,7.05
1987,69.4,-3.01,Chasseral,CHA,1599,Western Jura,47.13,7.05
1988,43.2,-0.13,Chasseral,CHA,1599,Western Jura,47.13,7.05
1989,31,2.38,Chasseral,CHA,1599,Western Jura,47.13,7.05
1990,38.9,3.88,Chasseral,CHA,1599,Western Jura,47.13,7.05
1991,42.7,1.14,Chasseral,CHA,1599,Western Jura,47.13,7.05
1992,49.6,2.54,Chasseral,CHA,1599,Western Jura,47.13,7.05
1993,48.9,1.71,Chasseral,CHA,1599,Western Jura,47.13,7.05
1994,40.9,2.86,Chasseral,CHA,1599,Western Jura,47.13,7.05
1995,42.7,-1.11,Chasseral,CHA,1599,Western Jura,47.13,7.05
1996,57.3,-1.98,Chasseral,CHA,1599,Western Jura,47.13,7.05
1997,34.5,-0.93,Chasseral,CHA,1599,Western Jura,47.13,7.05
1998,44.8,1.03,Chasseral,CHA,1599,Western Jura,47.13,7.05
1999,64.7,2.25,Chasseral,CHA,1599,Western Jura,47.13,7.05
2000,61.1,1.18,Chasseral,CHA,1599,Western Jura,47.13,7.05
2001,69.2,-1.91,Chasseral,CHA,1599,Western Jura,47.13,7.05
2002,41.8,1,Chasseral,CHA,1599,Western Jura,47.13,7.05
2003,43,-0.09,Chasseral,CHA,1599,Western Jura,47.13,7.05
2004,37.3,0.7,Chasseral,CHA,1599,Western Jura,47.13,7.05
2005,55.2,-1.35,Chasseral,CHA,1599,Western Jura,47.13,7.05
2006,55.8,-0.2,Chasseral,CHA,1599,Western Jura,47.13,7.05
2007,83.8,1.35,Chasseral,CHA,1599,Western Jura,47.13,7.05
2008,55,1.72,Chasseral,CHA,1599,Western Jura,47.13,7.05
2009,42.7,0.72,Chasseral,CHA,1599,Western Jura,47.13,7.05
2010,74,-5.96,Chasseral,CHA,1599,Western Jura,47.13,7.05
2011,31.3,2.95,Chasseral,CHA,1599,Western Jura,47.13,7.05
2012,46.9,-0.25,Chasseral,CHA,1599,Western Jura,47.13,7.05
2013,76.9,0.9,Chasseral,CHA,1599,Western Jura,47.13,7.05
2014,41.8,2.97,Chasseral,CHA,1599,Western Jura,47.13,7.05
2015,50.2,4.09,Chasseral,CHA,1599,Western Jura,47.13,7.05
