QUADRICULA,TET,crestlark,linnet,x,y
NG55,C,NA,NA,551000,4655000
NG55,H,NA,NA,552999.9999999999,4655000
NG55,M,NA,NA,555000,4655000
NG55,S,NA,NA,557000,4655000
NG55,X,NA,NA,559000,4655000
NG65,C,NA,NA,561000,4655000
NG65,H,NA,NA,563000,4655000
NG65,M,NA,NA,565000,4655000
NG65,S,0,1,567000,4655000
NG65,X,NA,NA,569000,4655000
NG75,C,0,0,571000,4655000
NG75,H,NA,NA,573000,4655000
NG75,M,0,0,575000,4655000
NG75,S,NA,NA,577000,4655000
NG75,X,NA,NA,579000,4655000
PG55,C,NA,NA,651000,4655000
PG55,H,NA,NA,653000,4655000
PG55,M,NA,NA,655000,4655000
PG55,S,NA,NA,657000,4655000
PG55,X,NA,NA,659000,4655000
PG85,C,NA,NA,681000,4655000
PG85,H,NA,NA,683000,4655000
PG85,M,NA,NA,685000,4655000
PG85,S,NA,NA,687000,4655000
PG85,X,NA,NA,689000,4655000
NG25,B,NA,NA,521000,4653000
NG25,G,NA,NA,523000,4653000
NG25,L,NA,NA,525000,4653000
NG25,R,NA,NA,527000,4653000
NG25,W,NA,NA,529000,4653000
NG35,B,NA,NA,531000,4653000
NG35,G,0,0,533000,4653000
NG35,L,NA,NA,535000,4653000
NG35,R,NA,NA,537000,4653000
NG35,W,0,0,539000,4653000
NG45,B,NA,NA,541000,4653000
NG45,G,NA,NA,543000,4653000
NG45,L,NA,NA,545000,4653000
NG45,R,NA,NA,547000,4653000
NG45,W,NA,NA,549000,4653000
NG55,B,0,0,551000,4653000
NG55,G,NA,NA,552999.9999999999,4653000
NG55,L,NA,NA,555000,4653000
NG55,R,0,0,557000,4653000
NG55,W,NA,NA,559000,4653000
NG65,B,NA,NA,561000,4653000
NG65,G,NA,NA,563000,4653000
NG65,L,NA,NA,565000,4653000
NG65,R,NA,NA,567000,4653000
NG65,W,NA,NA,569000,4653000
NG75,B,NA,NA,571000,4653000
NG75,G,0,1,573000,4653000
NG75,L,NA,NA,575000,4653000
NG75,R,NA,NA,577000,4653000
NG75,W,NA,NA,579000,4653000
PG55,B,NA,NA,651000,4653000
PG55,G,NA,NA,653000,4653000
PG55,L,NA,NA,655000,4653000
PG55,R,NA,NA,657000,4653000
PG55,W,NA,NA,659000,4653000
PG85,B,NA,NA,681000,4653000
PG85,G,NA,NA,683000,4653000
PG85,L,NA,NA,685000,4653000
PG85,R,NA,NA,687000,4653000
PG85,W,NA,NA,689000,4653000
NG25,A,NA,NA,521000,4651000
NG25,F,NA,NA,523000,4651000
NG25,K,NA,NA,525000,4651000
NG25,Q,NA,NA,527000,4651000
NG25,V,NA,NA,529000,4651000
NG35,A,0,1,531000,4651000
NG35,F,NA,NA,533000,4651000
NG35,K,0,1,535000,4651000
NG35,Q,NA,NA,537000,4651000
NG35,V,NA,NA,539000,4651000
NG45,A,0,0,541000,4651000
NG45,F,NA,NA,543000,4651000
NG45,K,NA,NA,545000,4651000
NG45,Q,0,1,547000,4651000
NG45,V,NA,NA,549000,4651000
NG55,A,NA,NA,551000,4651000
NG55,F,NA,NA,552999.9999999999,4651000
NG55,K,NA,NA,555000,4651000
NG55,Q,NA,NA,557000,4651000
NG55,V,0,0,559000,4651000
NG65,A,NA,NA,561000,4651000
NG65,F,0,1,563000,4651000
NG65,K,NA,NA,565000,4651000
NG65,Q,NA,NA,567000,4651000
NG65,V,0,0,569000,4651000
NG75,A,0,1,571000,4651000
NG75,F,NA,NA,573000,4651000
NG75,K,NA,NA,575000,4651000
NG75,Q,NA,NA,577000,4651000
NG75,V,NA,NA,579000,4651000
PG55,A,NA,NA,651000,4651000
PG55,F,NA,NA,653000,4651000
PG55,K,NA,NA,655000,4651000
PG55,Q,NA,NA,657000,4651000
PG55,V,NA,NA,659000,4651000
PG85,A,NA,NA,681000,4651000
PG85,F,NA,NA,683000,4651000
PG85,K,NA,NA,685000,4651000
PG85,Q,NA,NA,687000,4651000
PG85,V,NA,NA,689000,4651000
NG14,E,NA,NA,511000,4649000
NG14,J,NA,NA,513000,4649000
NG14,P,NA,NA,515000,4649000
NG14,U,NA,NA,517000,4649000
NG14,Z,NA,NA,519000,4649000
NG24,E,NA,NA,521000,4649000
NG24,J,NA,NA,523000,4649000
NG24,P,NA,NA,525000,4649000
NG24,U,NA,NA,527000,4649000
NG24,Z,0,1,529000,4649000
NG34,E,0,1,531000,4649000
NG34,J,NA,NA,533000,4649000
NG34,P,NA,NA,535000,4649000
NG34,U,0,0,537000,4649000
NG34,Z,NA,NA,539000,4649000
NG44,E,NA,NA,541000,4649000
NG44,J,0,1,543000,4649000
NG44,P,NA,NA,545000,4649000
NG44,U,NA,NA,547000,4649000
NG44,Z,NA,NA,549000,4649000
NG54,E,0,0,551000,4649000
NG54,J,NA,NA,552999.9999999999,4649000
NG54,P,NA,NA,555000,4649000
NG54,U,NA,NA,557000,4649000
NG54,Z,0,0,559000,4649000
NG64,E,NA,NA,561000,4649000
NG64,J,0,0,563000,4649000
NG64,P,0,0,565000,4649000
NG64,U,NA,NA,567000,4649000
NG64,Z,0,0,569000,4649000
NG74,E,NA,NA,571000,4649000
NG74,J,NA,NA,573000,4649000
NG74,P,NA,NA,575000,4649000
NG74,U,NA,NA,577000,4649000
NG74,Z,NA,NA,579000,4649000
NG94,E,NA,NA,591000,4649000
NG94,J,NA,NA,593000,4649000
NG94,P,NA,NA,595000,4649000
NG94,U,NA,NA,597000,4649000
NG94,Z,NA,NA,599000,4649000
PG04,E,NA,NA,601000,4649000
PG04,J,NA,NA,603000.0000000001,4649000
PG04,P,NA,NA,605000,4649000
PG04,U,NA,NA,607000,4649000
PG04,Z,NA,NA,609000,4649000
PG54,E,0,1,651000,4649000
PG54,J,NA,NA,653000,4649000
PG54,P,0,0,655000,4649000
PG54,U,NA,NA,657000,4649000
PG54,Z,NA,NA,659000,4649000
PG64,E,NA,NA,661000,4649000
PG64,J,NA,NA,663000,4649000
PG64,P,NA,NA,665000,4649000
PG64,U,NA,NA,667000,4649000
PG64,Z,NA,NA,669000.0000000001,4649000
PG74,E,NA,NA,671000,4649000
PG74,J,NA,NA,673000,4649000
PG74,P,NA,NA,675000,4649000
PG74,U,NA,NA,677000,4649000
PG74,Z,NA,NA,679000,4649000
PG84,E,NA,NA,681000,4649000
PG84,J,0,0,683000,4649000
PG84,P,0,0,685000,4649000
PG84,U,NA,NA,687000,4649000
PG84,Z,NA,NA,689000,4649000
PG94,E,NA,NA,691000,4649000
PG94,J,NA,NA,693000,4649000
PG94,P,NA,NA,695000,4649000
PG94,U,NA,NA,697000,4649000
PG94,Z,NA,NA,699000,4649000
QG04,E,NA,NA,701000,4649000
QG04,J,NA,NA,703000,4649000
QG04,P,NA,NA,705000,4649000
QG04,U,NA,NA,707000,4649000
QG04,Z,NA,NA,709000,4649000
NG14,D,NA,NA,511000,4647000
NG14,I,NA,NA,513000,4647000
NG14,N,NA,NA,515000,4647000
NG14,T,NA,NA,517000,4647000
NG14,Y,NA,NA,519000,4647000
NG24,D,NA,NA,521000,4647000
NG24,I,0,1,523000,4647000
NG24,N,NA,NA,525000,4647000
NG24,T,NA,NA,527000,4647000
NG24,Y,NA,NA,529000,4647000
NG34,D,0,1,531000,4647000
NG34,I,NA,NA,533000,4647000
NG34,N,NA,NA,535000,4647000
NG34,T,NA,NA,537000,4647000
NG34,Y,0,1,539000,4647000
NG44,D,0,1,541000,4647000
NG44,I,NA,NA,543000,4647000
NG44,N,NA,NA,545000,4647000
NG44,T,NA,NA,547000,4647000
NG44,Y,NA,NA,549000,4647000
NG54,D,NA,NA,551000,4647000
NG54,I,0,0,552999.9999999999,4647000
NG54,N,NA,NA,555000,4647000
NG54,T,NA,NA,557000,4647000
NG54,Y,NA,NA,559000,4647000
NG64,D,0,0,561000,4647000
NG64,I,NA,NA,563000,4647000
NG64,N,NA,NA,565000,4647000
NG64,T,NA,NA,567000,4647000
NG64,Y,NA,NA,569000,4647000
NG74,D,NA,NA,571000,4647000
NG74,I,NA,NA,573000,4647000
NG74,N,NA,NA,575000,4647000
NG74,T,NA,NA,577000,4647000
NG74,Y,NA,NA,579000,4647000
NG94,D,NA,NA,591000,4647000
NG94,I,NA,NA,593000,4647000
NG94,N,NA,NA,595000,4647000
NG94,T,NA,NA,597000,4647000
NG94,Y,NA,NA,599000,4647000
PG04,D,NA,NA,601000,4647000
PG04,I,NA,NA,603000.0000000001,4647000
PG04,N,NA,NA,605000,4647000
PG04,T,NA,NA,607000,4647000
PG04,Y,NA,NA,609000,4647000
PG54,D,NA,NA,651000,4647000
PG54,I,0,0,653000,4647000
PG54,N,NA,NA,655000,4647000
PG54,T,NA,NA,657000,4647000
PG54,Y,NA,NA,659000,4647000
PG64,D,NA,NA,661000,4647000
PG64,I,NA,NA,663000,4647000
PG64,N,NA,NA,665000,4647000
PG64,T,0,1,667000,4647000
PG64,Y,NA,NA,669000.0000000001,4647000
PG74,D,NA,NA,671000,4647000
PG74,I,NA,NA,673000,4647000
PG74,N,NA,NA,675000,4647000
PG74,T,NA,NA,677000,4647000
PG74,Y,NA,NA,679000,4647000
PG84,D,NA,NA,681000,4647000
PG84,I,NA,NA,683000,4647000
PG84,N,0,0,685000,4647000
PG84,T,NA,NA,687000,4647000
PG84,Y,NA,NA,689000,4647000
PG94,D,NA,NA,691000,4647000
PG94,I,NA,NA,693000,4647000
PG94,N,NA,NA,695000,4647000
PG94,T,NA,NA,697000,4647000
PG94,Y,NA,NA,699000,4647000
QG04,D,0,0,701000,4647000
QG04,I,0,0,703000,4647000
QG04,N,NA,NA,705000,4647000
QG04,T,NA,NA,707000,4647000
QG04,Y,NA,NA,709000,4647000
NG14,C,NA,NA,511000,4645000
NG14,H,NA,NA,513000,4645000
NG14,M,NA,NA,515000,4645000
NG14,S,NA,NA,517000,4645000
NG14,X,NA,NA,519000,4645000
NG24,C,0,1,521000,4645000
NG24,H,NA,NA,523000,4645000
NG24,M,NA,NA,525000,4645000
NG24,S,0,1,527000,4645000
NG24,X,NA,NA,529000,4645000
NG34,C,NA,NA,531000,4645000
NG34,H,NA,NA,533000,4645000
NG34,M,NA,NA,535000,4645000
NG34,S,0,0,537000,4645000
NG34,X,NA,NA,539000,4645000
NG44,C,NA,NA,541000,4645000
NG44,H,NA,NA,543000,4645000
NG44,M,0,0,545000,4645000
NG44,S,NA,NA,547000,4645000
NG44,X,NA,NA,549000,4645000
NG54,C,0,1,551000,4645000
NG54,H,NA,NA,552999.9999999999,4645000
NG54,M,NA,NA,555000,4645000
NG54,S,NA,NA,557000,4645000
NG54,X,0,0,559000,4645000
NG64,C,NA,NA,561000,4645000
NG64,H,NA,NA,563000,4645000
NG64,M,NA,NA,565000,4645000
NG64,S,0,1,567000,4645000
NG64,X,NA,NA,569000,4645000
NG74,C,NA,NA,571000,4645000
NG74,H,NA,NA,573000,4645000
NG74,M,NA,NA,575000,4645000
NG74,S,NA,NA,577000,4645000
NG74,X,NA,NA,579000,4645000
NG94,C,NA,NA,591000,4645000
NG94,H,NA,NA,593000,4645000
NG94,M,NA,NA,595000,4645000
NG94,S,NA,NA,597000,4645000
NG94,X,NA,NA,599000,4645000
PG04,C,NA,NA,601000,4645000
PG04,H,NA,NA,603000.0000000001,4645000
PG04,M,NA,NA,605000,4645000
PG04,S,NA,NA,607000,4645000
PG04,X,NA,NA,609000,4645000
PG54,C,NA,NA,651000,4645000
PG54,H,NA,NA,653000,4645000
PG54,M,0,1,655000,4645000
PG54,S,NA,NA,657000,4645000
PG54,X,0,0,659000,4645000
PG64,C,0,1,661000,4645000
PG64,H,NA,NA,663000,4645000
PG64,M,0,1,665000,4645000
PG64,S,0,1,667000,4645000
PG64,X,NA,NA,669000.0000000001,4645000
PG74,C,0,0,671000,4645000
PG74,H,NA,NA,673000,4645000
PG74,M,0,1,675000,4645000
PG74,S,NA,NA,677000,4645000
PG74,X,0,1,679000,4645000
PG84,C,NA,NA,681000,4645000
PG84,H,NA,NA,683000,4645000
PG84,M,0,1,685000,4645000
PG84,S,NA,NA,687000,4645000
PG84,X,0,1,689000,4645000
PG94,C,0,1,691000,4645000
PG94,H,NA,NA,693000,4645000
PG94,M,0,1,695000,4645000
PG94,S,NA,NA,697000,4645000
PG94,X,0,1,699000,4645000
QG04,C,0,1,701000,4645000
QG04,H,NA,NA,703000,4645000
QG04,M,NA,NA,705000,4645000
QG04,S,NA,NA,707000,4645000
QG04,X,NA,NA,709000,4645000
NG14,B,NA,NA,511000,4643000
NG14,G,NA,NA,513000,4643000
NG14,L,NA,NA,515000,4643000
NG14,R,NA,NA,517000,4643000
NG14,W,NA,NA,519000,4643000
NG24,B,NA,NA,521000,4643000
NG24,G,NA,NA,523000,4643000
NG24,L,NA,NA,525000,4643000
NG24,R,NA,NA,527000,4643000
NG24,W,0,0,529000,4643000
NG34,B,0,0,531000,4643000
NG34,G,0,0,533000,4643000
NG34,L,NA,NA,535000,4643000
NG34,R,NA,NA,537000,4643000
NG34,W,NA,NA,539000,4643000
NG44,B,0,0,541000,4643000
NG44,G,NA,NA,543000,4643000
NG44,L,NA,NA,545000,4643000
NG44,R,0,0,547000,4643000
NG44,W,NA,NA,549000,4643000
NG54,B,NA,NA,551000,4643000
NG54,G,NA,NA,552999.9999999999,4643000
NG54,L,NA,NA,555000,4643000
NG54,R,NA,NA,557000,4643000
NG54,W,NA,NA,559000,4643000
NG64,B,NA,NA,561000,4643000
NG64,G,0,0,563000,4643000
NG64,L,NA,NA,565000,4643000
NG64,R,NA,NA,567000,4643000
NG64,W,NA,NA,569000,4643000
NG74,B,NA,NA,571000,4643000
NG74,G,NA,NA,573000,4643000
NG74,L,NA,NA,575000,4643000
NG74,R,NA,NA,577000,4643000
NG74,W,NA,NA,579000,4643000
NG94,B,NA,NA,591000,4643000
NG94,G,NA,NA,593000,4643000
NG94,L,NA,NA,595000,4643000
NG94,R,NA,NA,597000,4643000
NG94,W,NA,NA,599000,4643000
PG04,B,NA,NA,601000,4643000
PG04,G,NA,NA,603000.0000000001,4643000
PG04,L,NA,NA,605000,4643000
PG04,R,NA,NA,607000,4643000
PG04,W,NA,NA,609000,4643000
PG54,B,NA,NA,651000,4643000
PG54,G,0,1,653000,4643000
PG54,L,NA,NA,655000,4643000
PG54,R,NA,NA,657000,4643000
PG54,W,NA,NA,659000,4643000
PG64,B,NA,NA,661000,4643000
PG64,G,0,1,663000,4643000
PG64,L,NA,NA,665000,4643000
PG64,R,NA,NA,667000,4643000
PG64,W,NA,NA,669000.0000000001,4643000
PG74,B,NA,NA,671000,4643000
PG74,G,0,1,673000,4643000
PG74,L,NA,NA,675000,4643000
PG74,R,0,0,677000,4643000
PG74,W,NA,NA,679000,4643000
PG84,B,NA,NA,681000,4643000
PG84,G,NA,NA,683000,4643000
PG84,L,NA,NA,685000,4643000
PG84,R,0,0,687000,4643000
PG84,W,NA,NA,689000,4643000
PG94,B,NA,NA,691000,4643000
PG94,G,0,0,693000,4643000
PG94,L,NA,NA,695000,4643000
PG94,R,0,0,697000,4643000
PG94,W,NA,NA,699000,4643000
QG04,B,0,1,701000,4643000
QG04,G,0,0,703000,4643000
QG04,L,NA,NA,705000,4643000
QG04,R,NA,NA,707000,4643000
QG04,W,NA,NA,709000,4643000
NG14,A,NA,NA,511000,4641000
NG14,F,NA,NA,513000,4641000
NG14,K,NA,NA,515000,4641000
NG14,Q,NA,NA,517000,4641000
NG14,V,NA,NA,519000,4641000
NG24,A,NA,NA,521000,4641000
NG24,F,NA,NA,523000,4641000
NG24,K,0,0,525000,4641000
NG24,Q,NA,NA,527000,4641000
NG24,V,NA,NA,529000,4641000
NG34,A,NA,NA,531000,4641000
NG34,F,NA,NA,533000,4641000
NG34,K,0,0,535000,4641000
NG34,Q,0,0,537000,4641000
NG34,V,NA,NA,539000,4641000
NG44,A,NA,NA,541000,4641000
NG44,F,0,1,543000,4641000
NG44,K,NA,NA,545000,4641000
NG44,Q,NA,NA,547000,4641000
NG44,V,NA,NA,549000,4641000
NG54,A,NA,NA,551000,4641000
NG54,F,0,1,552999.9999999999,4641000
NG54,K,NA,NA,555000,4641000
NG54,Q,NA,NA,557000,4641000
NG54,V,NA,NA,559000,4641000
NG64,A,NA,NA,561000,4641000
NG64,F,NA,NA,563000,4641000
NG64,K,NA,NA,565000,4641000
NG64,Q,NA,NA,567000,4641000
NG64,V,NA,NA,569000,4641000
NG74,A,NA,NA,571000,4641000
NG74,F,NA,NA,573000,4641000
NG74,K,NA,NA,575000,4641000
NG74,Q,NA,NA,577000,4641000
NG74,V,NA,NA,579000,4641000
NG94,A,NA,NA,591000,4641000
NG94,F,NA,NA,593000,4641000
NG94,K,NA,NA,595000,4641000
NG94,Q,NA,NA,597000,4641000
NG94,V,NA,NA,599000,4641000
PG04,A,NA,NA,601000,4641000
PG04,F,NA,NA,603000.0000000001,4641000
PG04,K,NA,NA,605000,4641000
PG04,Q,NA,NA,607000,4641000
PG04,V,NA,NA,609000,4641000
PG54,A,NA,NA,651000,4641000
PG54,F,NA,NA,653000,4641000
PG54,K,0,1,655000,4641000
PG54,Q,NA,NA,657000,4641000
PG54,V,0,1,659000,4641000
PG64,A,0,1,661000,4641000
PG64,F,0,1,663000,4641000
PG64,K,NA,NA,665000,4641000
PG64,Q,0,1,667000,4641000
PG64,V,NA,NA,669000.0000000001,4641000
PG74,A,0,0,671000,4641000
PG74,F,NA,NA,673000,4641000
PG74,K,0,1,675000,4641000
PG74,Q,NA,NA,677000,4641000
PG74,V,0,0,679000,4641000
PG84,A,NA,NA,681000,4641000
PG84,F,0,0,683000,4641000
PG84,K,NA,NA,685000,4641000
PG84,Q,NA,NA,687000,4641000
PG84,V,0,1,689000,4641000
PG94,A,0,1,691000,4641000
PG94,F,NA,NA,693000,4641000
PG94,K,0,1,695000,4641000
PG94,Q,0,0,697000,4641000
PG94,V,0,1,699000,4641000
QG04,A,0,1,701000,4641000
QG04,F,NA,NA,703000,4641000
QG04,K,NA,NA,705000,4641000
QG04,Q,NA,NA,707000,4641000
QG04,V,NA,NA,709000,4641000
NG13,E,NA,NA,511000,4638999.999999999
NG13,J,NA,NA,513000,4638999.999999999
NG13,P,NA,NA,515000,4638999.999999999
NG13,U,NA,NA,517000,4638999.999999999
NG13,Z,NA,NA,519000,4638999.999999999
NG23,E,NA,NA,521000,4638999.999999999
NG23,J,NA,NA,523000,4638999.999999999
NG23,P,NA,NA,525000,4638999.999999999
NG23,U,0,1,527000,4638999.999999999
NG23,Z,NA,NA,529000,4638999.999999999
NG33,E,NA,NA,531000,4638999.999999999
NG33,J,NA,NA,533000,4638999.999999999
NG33,P,NA,NA,535000,4638999.999999999
NG33,U,0,1,537000,4638999.999999999
NG33,Z,0,0,539000,4638999.999999999
NG43,E,NA,NA,541000,4638999.999999999
NG43,J,0,0,543000,4638999.999999999
NG43,P,NA,NA,545000,4638999.999999999
NG43,U,NA,NA,547000,4638999.999999999
NG43,Z,NA,NA,549000,4638999.999999999
NG53,E,NA,NA,551000,4638999.999999999
NG53,J,NA,NA,552999.9999999999,4638999.999999999
NG53,P,0,0,555000,4638999.999999999
NG53,U,NA,NA,557000,4638999.999999999
NG53,Z,NA,NA,559000,4638999.999999999
NG63,E,NA,NA,561000,4638999.999999999
NG63,J,0,0,563000,4638999.999999999
NG63,P,NA,NA,565000,4638999.999999999
NG63,U,NA,NA,567000,4638999.999999999
NG63,Z,NA,NA,569000,4638999.999999999
NG73,E,NA,NA,571000,4638999.999999999
NG73,J,NA,NA,573000,4638999.999999999
NG73,P,NA,NA,575000,4638999.999999999
NG73,U,NA,NA,577000,4638999.999999999
NG73,Z,NA,NA,579000,4638999.999999999
NG83,E,NA,NA,581000,4638999.999999999
NG83,J,NA,NA,583000,4638999.999999999
NG83,P,NA,NA,585000,4638999.999999999
NG83,U,NA,NA,587000,4638999.999999999
NG83,Z,NA,NA,589000,4638999.999999999
NG93,E,0,0,591000,4638999.999999999
NG93,J,NA,NA,593000,4638999.999999999
NG93,P,NA,NA,595000,4638999.999999999
NG93,U,NA,NA,597000,4638999.999999999
NG93,Z,NA,NA,599000,4638999.999999999
PG03,E,NA,NA,601000,4638999.999999999
PG03,J,NA,NA,603000.0000000001,4638999.999999999
PG03,P,NA,NA,605000,4638999.999999999
PG03,U,0,0,607000,4638999.999999999
PG03,Z,NA,NA,609000,4638999.999999999
PG13,E,NA,NA,611000,4638999.999999999
PG13,J,NA,NA,613000,4638999.999999999
PG13,P,NA,NA,615000,4638999.999999999
PG13,U,NA,NA,617000,4638999.999999999
PG13,Z,NA,NA,618999.9999999999,4638999.999999999
PG23,E,NA,NA,621000,4638999.999999999
PG23,J,NA,NA,623000,4638999.999999999
PG23,P,NA,NA,625000,4638999.999999999
PG23,U,NA,NA,627000,4638999.999999999
PG23,Z,NA,NA,629000,4638999.999999999
PG33,E,NA,NA,631000,4638999.999999999
PG33,J,NA,NA,633000,4638999.999999999
PG33,P,NA,NA,635000,4638999.999999999
PG33,U,NA,NA,637000,4638999.999999999
PG33,Z,NA,NA,639000,4638999.999999999
PG43,E,NA,NA,641000,4638999.999999999
PG43,J,NA,NA,643000,4638999.999999999
PG43,P,NA,NA,645000,4638999.999999999
PG43,U,NA,NA,647000,4638999.999999999
PG43,Z,NA,NA,649000,4638999.999999999
PG53,E,0,1,651000,4638999.999999999
PG53,J,NA,NA,653000,4638999.999999999
PG53,P,0,1,655000,4638999.999999999
PG53,U,NA,NA,657000,4638999.999999999
PG53,Z,0,1,659000,4638999.999999999
PG63,E,0,1,661000,4638999.999999999
PG63,J,NA,NA,663000,4638999.999999999
PG63,P,NA,NA,665000,4638999.999999999
PG63,U,0,1,667000,4638999.999999999
PG63,Z,NA,NA,669000.0000000001,4638999.999999999
PG73,E,NA,NA,671000,4638999.999999999
PG73,J,0,1,673000,4638999.999999999
PG73,P,NA,NA,675000,4638999.999999999
PG73,U,NA,NA,677000,4638999.999999999
PG73,Z,0,1,679000,4638999.999999999
PG83,E,NA,NA,681000,4638999.999999999
PG83,J,0,1,683000,4638999.999999999
PG83,P,0,0,685000,4638999.999999999
PG83,U,NA,NA,687000,4638999.999999999
PG83,Z,NA,NA,689000,4638999.999999999
PG93,E,0,1,691000,4638999.999999999
