lon,lat,jul.day,bath,chl,chl.sw
-10.4483,36.6031,1,3841,0.74,0.31622777
-10.45,30.98,272,768,0.835,0.49131654
-10.45,31,272,270,0.825,0.52232152
-10.463,56.831,183,2141,0.3,0.63650065
-10.47,31,272,270,0.67375,0.40100805
-10.4746,49.3265,123,177,4.12,1.3312181
-10.476,48.0113,200,3286,0.101,0.4506769
-10.4955,49.5434,276,166,0.539,0.43118443
-10.499,49.501,179,166,0.144,0.6862832
-10.5,31.1,273,270,1.07,0.40271703
-10.5,31.5,276,960,0.091,0.22697085
-10.5017,49.5,199,155,0.509,0.38255337
-10.51,31.1,273,990,1.04,0.40271703
-10.5113,38.161,8,4911,0.322,0.28635421
-10.5162,36.8872,1,2250,0.74,0.25703958
-10.517,49.5,186,155,0.155,0.47890367
-10.528,49.467,186,131,0.149,0.47890367
-10.533,49.448,186,131,0.172,0.47890367
-10.533,49.47,186,131,0.142,0.47890367
-10.54,31.13,273,990,0.6875,0.40271703
-10.5412,56.9958,143,2366,0.9,1.17704981
-10.543,49.457,186,131,0.152,0.47890367
-10.5442,56.8632,191,2366,0.6,0.63095734
-10.5742,54.2922,59,211,0.2,0.31928575
-10.5765,55.4283,166,2507,0.6,1.05600628
-10.5767,41.5908,10,3082,0.36,0.2644381
-10.59,31.17,273,990,0.8775,0.43151908
-10.6,31.2,274,990,1.155,0.37326845
-10.6038,49.0254,308,132,0.67,0.36608926
-10.6075,37.2499,1,3548,0.57,0.23988329
-10.62,31.19,274,990,0.937,0.37326845
-10.6208,56.7522,143,2366,1,0.84737347
-10.633,78.017,211,178,0.145,2.36390516
-10.6358,50.8258,196,156,0.19,0.57002625
-10.6382,38.5066,5,4907,0.71,0.3006648
-10.64,31.21,274,990,0.8425,0.37352875
-10.646,49.5205,276,155,0.539,0.45866353
-10.6474,49.1835,270,132,0.67,0.48440207
-10.6637,54.3387,59,211,0.3,0.31928575
-10.67,31.5,276,1851,0.07,0.22943147
-10.67,75,151,2565,0.7,1.93059019
-10.6779,49.5439,256,155,0.45,0.31905481
-10.6821,38.0144,5,4911,0.67,0.28059671
-10.72,31.05,141,990,0.112,0.33348982
-10.72,31.45,140,954,0.1,0.19678474
-10.72,31.48,140,954,0.088,0.19678474
-10.72,31.5,141,1851,0.114,0.19510077
-10.73,31.22,275,990,0.735,0.3513944
-10.7465,58.6485,188,1916,0.3,0.66173771
-10.7492,56.8997,183,2366,0.4,0.56549529
-10.7562,49.3825,290,131,0.372,0.37748837
-10.777,54.3955,59,211,0,0.18591223
-10.7777,54.3953,59,211,0.2,0.18591223
-10.778,58.6683,188,1916,0.5,0.66173771
-10.78,31.23,275,990,0.4,0.3513944
-10.78,31.23,277,990,1.16333333,0.36394465
-10.7859,49.5088,276,155,0.595,0.44002965
-10.79,31.21,275,990,0.2735,0.3513944
-10.79,31.23,275,990,0.39,0.3513944
-10.79,31.23,277,990,0.551,0.36394465
-10.7934,48.8755,308,636,0.44,0.34148333
-10.8,74.75,197,2923,0.135,0.56568054
-10.8135,41.1712,205,3496,0.123,0.20905424
-10.8262,53.9798,59,139,0,0.25118793
-10.8296,49.5362,290,155,0.521,0.48385855
-10.83,31.23,278,990,2.29,0.27457848
-10.83,31.5,276,1851,0.07,0.16766234
-10.833,78,211,178,0.095,2.28688618
-10.84,31.24,278,990,1.69,0.27457848
-10.85,31.23,278,990,1.6215,0.27457848
-10.86,31.23,278,990,2.4,0.27457848
-10.88,31.23,278,990,2.0995,0.27457848
-10.8815,55.4123,166,2507,0.8,0.94088042
-10.8894,49.4883,276,131,0.632,0.53501937
-10.89,31.18,275,990,0.393,0.26405514
-10.9083,49.3472,290,131,0.391,0.4506769
-10.9135,54.478,59,211,0,0.19173284
-10.9145,54.48,59,211,0.2,0.19173284
-10.9219,38.2529,5,4955,0.77,0.29529697
-10.9251,45.3968,202,3021,0.064,0.28637977
-10.9279,38.5007,5,4907,0.9,0.30567434
-10.9296,48.7198,270,2225,0.57,0.48493763
-10.9502,43.7858,253,5104,0.294,0.19603211
-10.9688,49.5137,117,155,0.881,0.95562897
-10.97,31.23,279,990,2.69,0.26163271
-10.97,31.24,279,990,2.625,0.26163271
-10.9738,56.9797,343,2366,0.2,0
-10.9739,49.5134,117,155,0.668,0.95562897
-10.9759,48.7262,308,2225,0.39,0.37021977
-10.98,31.23,279,990,1.60633333,0.26163271
-10.9873,54.5067,59,626,0,0.19173284
-10.9877,54.5067,59,626,0.2,0.19173284
-10.991,49.4935,122,131,1.67,1.10845589
-10.9942,49.5055,117,155,0.6405,0.98338729
-10.9949,49.5027,240,155,0.181,0.31905481
-10.996,49.497,179,131,0.144,0.83590196
-11,31.5,276,1851,0.07,0.1545128
-11.0015,49.3829,161,367,0.513,0.77624712
-11.0018,49.4621,277,367,0.502,0.54021266
-11.002,48.335,190,2979,0.202,0.68200373
-11.0029,49.4984,266,367,0.69,0.48749394
-11.004,48.661,188,1951,0.32466667,0.75646136
-11.0207,37.2353,1,4664,0.77,0.25703958
-11.0318,36.416,365,3214,1.07,0.28936372
-11.037,49.5145,290,410,0.521,0.38579926
-11.0392,56.973,183,2394,0.4,0.50430875
-11.04,31.21,279,1916,2.313,0.20030631
-11.0542,45.3014,202,4332,0.093,0.28050326
-11.0597,41.8073,205,2388,0.17,0.23988329
-11.08,31.17,280,1916,1.02,0.19859542
-11.0812,49.0913,246,493,0.302,0.39553365
-11.082,54.5443,58,1613,0.1,0.17658033
-11.0832,49.4668,124,367,1.989,1.05534604
-11.09,31.15,280,1916,0.8635,0.19859542
-11.0979,49.3255,290,367,0.595,0.32703892
-11.1,31.15,280,1916,0.78033333,0.19859542
-11.1168,49.449,277,367,0.502,0.54021266
-11.1175,49.5625,125,410,2.945,1.35621083
-11.1177,43.6066,252,5051,0.139,0.26279918
-11.1185,49.563,125,410,1.12,1.35621083
-11.1328,49.483,299,367,0.05,0.40969376
-11.135,54.5708,58,1613,0.1,0.17658033
-11.1352,49.4847,143,367,0.582,0.93665353
-11.1352,55.4032,166,2622,0.6,0.98784209
-11.1482,57.0633,191,2185,0.7,0.44086738
-11.162,48.5783,308,1951,0.46,0.3455092
-11.17,31.5,276,2407,0.091,0.13994909
-11.1703,44.2535,204,4994,0.061,0.22102202
-11.1715,38.4995,5,4944,0.53,0.26186809
-11.1812,58.947,188,1881,0.7,0.67358885
-11.1929,49.3155,104,367,0.571,0.53668371
-11.2037,47.7995,200,4212,0.117,0.51068498
-11.22,75,151,2215,0.9,2.1339269
-11.2202,48.974,269,831,0.6,0.52249553
-11.2283,49.4975,290,367,0.502,0.49131654
-11.2337,43.7266,252,5051,0.176,0.231029
-11.2451,49.4371,117,367,1.315,0.64434283
-11.2452,36.3266,1,3214,0.83,0.32734069
-11.2457,49.4284,117,367,0.9175,0.90251483
-11.2464,49.4366,277,367,0.521,0.57021067
-11.2492,49.4798,257,367,0.51,0.54954087
-11.2571,36.345,365,3214,1.1,0.36105323
-11.2702,56.8647,143,2394,0.9,0.86931973
-11.2985,46.9968,201,4805,0.11,0.29512092
-11.3165,49.3047,290,367,0.558,0.45321404
-11.3195,43.807,252,5110,0.081,0.231029
-11.322,42.4633,205,1855,0.103,0.28529181
-11.33,31.5,276,2407,0.253,0.13457502
-11.3309,48.3386,165,2979,0.402,0.74293852
-11.3312,57.0438,183,2185,0.4,0.54037657
-11.3442,48.4366,308,2979,0.39,0.33565019
-11.3471,48.3341,247,2979,0.128,0.34116426
-11.3522,50.5925,196,1030,0.145,0.41065956
-11.3697,36.6717,1,696,0.6,0.25703958
-11.382,49.4218,277,367,0.577,0.48878402
-11.3985,49.3301,122,367,1.218,0.58545346
-11.3992,37.0199,1,4664,0.26,0.30549211
-11.4069,49.3315,122,367,1.982,0.58545346
-11.4095,49.3355,122,367,1.45,0.58545346
-11.411,49.3416,122,367,1.756,0.73785194
-11.4132,53.262,59,152,0,0.29771372
-11.4135,53.258,59,152,0.4,0.29771372
-11.4195,55.37,166,2622,0.4,0.84563595
-11.455,49.455,185,367,0.299,0.83176377
-11.467,74.783,197,2761,0.295,0.62024712
-11.4699,49.4144,104,367,0.177,0.46677798
-11.4735,49.4088,277,367,0.446,0.51286138
-11.475,49.448,185,367,0.2525,0.83176377
-11.475,49.458,185,367,0.259,0.83176377
-11.475,49.462,185,367,0.306,0.83176377
-11.4794,49.4283,266,367,0.55,0.482909
-11.4815,49.5181,121,410,2.4445,0.49545019
-11.489,49.5,185,410,0.455,0.83176377
-11.492,49.45,185,367,0.2625,0.83176377
-11.497,49.502,185,410,0.333,0.83176377
-11.5,31.5,276,2407,0.098,0.11614486
-11.5,48.667,188,1951,0.156,0.73317221
-11.505,48.669,189,2150,0.195,0.70030835
-11.506,49.501,179,853,0.176,0.85368626
-11.5232,49.4052,277,783,0.391,0.50475727
-11.53,49.4133,198,783,0.111,0.4891197
-11.5312,49.4116,277,783,0.372,0.50475727
-11.5315,48.2979,308,2120,0.42,0.36643033
-11.5355,49.412,293,783,0.487,0.45615979
-11.5367,49.4113,277,783,0.446,0.50475727
-11.5435,49.4051,277,783,0.409,0.50475727
-11.5447,49.4111,122,783,1.7,0.61191644
-11.5455,49.4073,122,783,1.71,0.61191644
-11.547,49.4222,121,783,2.246,0.63095734
-11.552,49.4034,277,783,0.65,0.50475727
-11.5611,49.4008,277,783,0.428,0.50475727
-11.5664,49.4192,113,783,1.02,0.40271703
-11.5838,49.4802,257,783,0.8,0.54954087
-11.5872,49.3874,267,783,0.4,0.49169368
-11.5895,49.4154,113,783,1.058,0.40271703
-11.591,49.3842,116,783,0.24,0.48830715
-11.5936,49.3801,116,783,1.506,0.48830715
-11.5955,49.3783,116,783,0.945,0.48830715
-11.5999,49.4128,267,783,0.39,0.49169368
-11.6081,49.3668,116,783,1.041,0.48830715
-11.6084,49.1089,291,937,0.465,0.40991332
-11.6099,49.4039,113,783,0.757,0.40271703
-11.6131,49.4123,116,783,1.285,0.48830715
-11.6151,49.3548,115,783,0.626,0.45977711
-11.616,49.4033,113,783,0.477,0.40271703
-11.6204,36.1269,365,3472,0.63,0.25366437
-11.6233,57.1087,182,2034,0.5,0.68942733
-11.6323,49.3756,124,783,1.101,0.57383462
-11.6346,49.4661,290,783,0.335,0.41339135
-11.6388,49.3388,115,783,0.978,0.45467022
-11.6449,49.4656,290,783,0.372,0.41339135
-11.6461,49.2627,290,783,0.446,0.30857044
-11.6492,49.2449,113,937,0.481,0.38904514
-11.6517,49.3747,115,783,0.758,0.45977711
-11.6543,49.3895,122,783,3.09,0.61191644
-11.662,49.2953,115,783,0.921,0.45467022
-11.6664,49.4041,31,783,0.14,0.15877965
-11.7024,48.1532,308,3381,0.35,0.44000703
-11.7033,44.1919,252,5082,0.116,0.20183664
-11.7077,44.8631,202,4598,0.122,0.25102583
-11.7408,49.0752,160,937,0.064,0.52645516
-11.7459,49.5428,257,853,0.7,0.74989421
-11.7698,57.298,191,1865,0.8,0.78523339
-11.7764,49.4286,112,783,0.477,0.45669207
-11.7809,49.4281,114,783,0.657,0.4506769
-11.8278,49.6062,257,853,0.58,0.54954087
-11.8292,49.3505,112,783,0.46,0.45954075
-11.83,31.5,276,2914,0.084,0.10366998
-11.8327,53.253,59,167,0,0.23806449
-11.8328,53.252,59,167,0.3,0.23806449
-11.8376,48.9137,31,1710,0.175,0.18522177
-11.8404,49.0847,291,937,0.428,0.488999
-11.8407,48.9184,164,1710,0.168,0.70149737
-11.8774,48.011,308,3381,0.14,0.3500664
-11.8939,49.231,291,937,0.391,0.43651459
-11.897,43.8407,205,5120,0.0275,0.21336196
-11.9108,49.3257,103,783,0.214,0.40271703
-11.9158,57.1815,182,2034,0.4,1.05849187
-11.9167,50.0825,290,1833,0.06,0.54313107
-11.9188,56.9805,143,2251,0.7,1.01553437
-11.9266,44.4112,252,4934,0.095,0.19426515
-11.9474,49.3885,112,783,0.828,0.44842738
-11.987,49.444,180,783,0.16,1.3965654
-11.9939,49.2812,240,783,0.157,0.37163318
-11.995,48.333,190,2120,0.275,0.61756956
-11.999,43.999,204,5120,0.034,0.21912195
-12,31.49,276,2601,0.14,0.11679545
-12,31.5,276,2914,0.098,0.11679545
-12.002,47.5795,200,4486,0.097,0.51583222
-12.005,48.67,189,1967,0.1115,0.57021067
-12.0078,49.3251,103,1195,0.377,0.40271703
-12.0096,49.2891,288,1195,0.446,0.51744632
-12.0217,56.9972,143,2168,1.2,1.06720652
-12.0244,36.289,364,3790,0.83,0.3052552
-12.0339,49.1717,104,1134,0.521,0.38904514
-12.051,47.8664,308,4037,0.34,0.4117409
-12.0555,49.0668,291,1134,0.409,0.45486527
-12.0561,49.3326,118,1195,0.834,0.55458033
-12.0761,49.252,111,1195,0.314,0.53889403
-12.0947,49.1878,291,1134,0.391,0.54585009
-12.1286,44.6267,252,3781,0.047,0.20626975
-12.133,74.883,197,2211,0.275,0.65352016
-12.1478,49.3029,122,1195,2,0.72726405
-12.1543,55.3568,166,2876,0.3,0.59660362
-12.169,46.247,117,4557,2.7,0.65383867
-12.1873,46.0955,117,4557,3.2,0.61019775
-12.2016,49.2676,111,1195,0.561,0.52634378
-12.2148,49.2243,123,1134,1.91,0.61543124
-12.2203,36.3977,365,3790,0.94,0.28126584
-12.227,47.7237,308,4486,0.38,0.4107092
-12.2272,45.838,117,4811,2.9,0.5920075
